114,2017.03.05.11:45:44
67,2017.03.05.11:45:50
119,2017.03.05.11:45:56
93,2017.03.05.11:46:02
124,2017.03.05.11:46:08
93,2017.03.05.11:46:14
79,2017.03.05.11:46:20
82,2017.03.05.11:46:26
152,2017.03.05.11:46:32
122,2017.03.05.11:46:38
122,2017.03.05.11:46:44
45,2017.03.05.11:46:50
44,2017.03.05.11:46:56
115,2017.03.05.11:47:02
80,2017.03.05.11:47:08
55,2017.03.05.11:47:14
116,2017.03.05.11:47:20
46,2017.03.05.11:47:27
243,2017.03.05.11:47:33
85,2017.03.05.11:47:39
165,2017.03.05.11:47:45
41,2017.03.05.11:47:51
110,2017.03.05.11:47:57
113,2017.03.05.11:48:03
113,2017.03.05.11:48:09
129,2017.03.05.11:48:15
110,2017.03.05.11:48:21
104,2017.03.05.11:48:27
139,2017.03.05.11:48:33
90,2017.03.05.11:48:39
89,2017.03.05.11:48:45
85,2017.03.05.11:48:51
115,2017.03.05.11:48:57
119,2017.03.05.11:49:03
78,2017.03.05.11:49:09
83,2017.03.05.11:49:15
86,2017.03.05.11:49:21
117,2017.03.05.11:49:27
111,2017.03.05.11:49:33
117,2017.03.05.11:49:39
112,2017.03.05.11:49:45
143,2017.03.05.11:49:51
116,2017.03.05.11:49:57
121,2017.03.05.11:50:03
147,2017.03.05.11:50:09
50,2017.03.05.11:50:15
35,2017.03.05.11:50:21
119,2017.03.05.11:50:27
124,2017.03.05.11:50:33
118,2017.03.05.11:50:39
157,2017.03.05.11:50:45
34,2017.03.05.11:50:51
95,2017.03.05.11:50:57
90,2017.03.05.11:51:03
69,2017.03.05.11:51:09
115,2017.03.05.11:51:15
100,2017.03.05.11:51:21
96,2017.03.05.11:51:27
133,2017.03.05.11:51:33
104,2017.03.05.11:51:39
131,2017.03.05.11:51:45
109,2017.03.05.11:51:51
271,2017.03.05.11:51:57
113,2017.03.05.11:52:03
101,2017.03.05.11:52:09
120,2017.03.05.11:52:16
75,2017.03.05.11:52:22
99,2017.03.05.11:52:28
97,2017.03.05.11:52:34
60,2017.03.05.11:52:40
113,2017.03.05.11:52:46
110,2017.03.05.11:52:52
135,2017.03.05.11:52:58
107,2017.03.05.11:53:04
92,2017.03.05.11:53:10
63,2017.03.05.11:53:16
72,2017.03.05.11:53:22
85,2017.03.05.11:53:28
101,2017.03.05.11:53:34
101,2017.03.05.11:53:40
86,2017.03.05.11:53:46
105,2017.03.05.11:53:52
101,2017.03.05.11:53:58
76,2017.03.05.11:54:04
118,2017.03.05.11:54:10
82,2017.03.05.11:54:16
119,2017.03.05.11:54:22
93,2017.03.05.11:54:28
113,2017.03.05.11:54:34
118,2017.03.05.11:54:40
74,2017.03.05.11:54:46
117,2017.03.05.11:54:52
106,2017.03.05.11:54:58
107,2017.03.05.11:55:04
117,2017.03.05.11:55:10
85,2017.03.05.11:55:16
121,2017.03.05.11:55:22
84,2017.03.05.11:55:28
104,2017.03.05.11:55:34
90,2017.03.05.11:55:40
87,2017.03.05.11:55:46
124,2017.03.05.11:55:52
87,2017.03.05.11:55:58
99,2017.03.05.11:56:04
91,2017.03.05.11:56:10
60,2017.03.05.11:56:16
96,2017.03.05.11:56:22
113,2017.03.05.11:56:28
97,2017.03.05.11:56:34
99,2017.03.05.11:56:40
86,2017.03.05.11:56:46
105,2017.03.05.11:56:52
80,2017.03.05.11:56:58
77,2017.03.05.11:57:05
107,2017.03.05.11:57:11
99,2017.03.05.11:57:17
101,2017.03.05.11:57:23
70,2017.03.05.11:57:29
98,2017.03.05.11:57:35
69,2017.03.05.11:57:41
74,2017.03.05.11:57:47
79,2017.03.05.11:57:53
80,2017.03.05.11:57:59
79,2017.03.05.11:58:05
83,2017.03.05.11:58:11
99,2017.03.05.11:58:17
74,2017.03.05.11:58:23
87,2017.03.05.11:58:29
107,2017.03.05.11:58:35
112,2017.03.05.11:58:41
90,2017.03.05.11:58:47
89,2017.03.05.11:58:53
115,2017.03.05.11:58:59
90,2017.03.05.11:59:05
64,2017.03.05.11:59:11
72,2017.03.05.11:59:17
104,2017.03.05.11:59:23
80,2017.03.05.11:59:29
88,2017.03.05.11:59:35
122,2017.03.05.11:59:41
84,2017.03.05.11:59:47
97,2017.03.05.11:59:53
99,2017.03.05.11:59:59
86,2017.03.05.12:00:05
75,2017.03.05.12:00:11
76,2017.03.05.12:00:17
89,2017.03.05.12:00:23
91,2017.03.05.12:00:29
57,2017.03.05.12:00:35
84,2017.03.05.12:00:41
85,2017.03.05.12:00:47
57,2017.03.05.12:00:53
82,2017.03.05.12:00:59
74,2017.03.05.12:01:05
57,2017.03.05.12:01:11
81,2017.03.05.12:01:17
101,2017.03.05.12:01:23
58,2017.03.05.12:01:29
76,2017.03.05.12:01:35
